"filename", "language", "UnityShader", "C#", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\AurynSky\Desert Pack\Scripts\ChestDemo.cs", "C#", 0, 19, 0, 0, 9, 8, 36
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\AurynSky\Desert Pack\Scripts\MaterialMover.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\AurynSky\Desert Pack\Scripts\Rotator.cs", "C#", 0, 11, 0, 0, 1, 5, 17
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\IronWarrior ToonWaterShader master Assets\Scripts\CameraDepthTextureMode.cs", "C#", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\IronWarrior ToonWaterShader master Assets\Scripts\NormalsReplacementShader.cs", "C#", 0, 21, 0, 0, 3, 6, 30
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\IronWarrior ToonWaterShader master Assets\Scripts\WaterBob.cs", "C#", 0, 19, 0, 0, 0, 7, 26
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\IronWarrior ToonWaterShader master Assets\Shaders\HiddenNormalsTexture.shader", "UnityShader", 44, 0, 0, 0, 0, 8, 52
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\IronWarrior ToonWaterShader master Assets\Shaders\ToonLit.shader", "UnityShader", 56, 0, 0, 0, 0, 11, 67
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\IronWarrior ToonWaterShader master Assets\Shaders\ToonWater.shader", "UnityShader", 106, 0, 0, 0, 34, 42, 182
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\IronWarrior ToonWaterShader master Assets\Shaders\UnlitShadowCaster.shader", "UnityShader", 49, 0, 0, 0, 0, 10, 59
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Quirky Series Ultimate\_Scripts\QuirkySeriesDemo.cs", "C#", 0, 180, 0, 0, 19, 34, 233
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Quirky Series Ultimate\_Scripts\RotateOnScroll.cs", "C#", 0, 15, 0, 0, 1, 4, 20
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Quirky Series Ultimate\_Shader\SoftSurface.shader", "UnityShader", 33, 0, 0, 0, 1, 5, 39
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Quirky Series Ultimate\_Shader\ToonRamp.shader", "UnityShader", 46, 0, 0, 0, 6, 11, 63
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Scripts\AccessoryLogic.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Scripts\AccessoryWearLogic.cs", "C#", 0, 95, 0, 0, 0, 15, 110
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Scripts\DemoFree.cs", "C#", 0, 72, 0, 0, 0, 21, 93
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Scripts\FreeCameraLogic.cs", "C#", 0, 48, 0, 0, 0, 13, 61
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Scripts\SimpleSampleCharacterControl.cs", "C#", 0, 208, 0, 0, 8, 45, 261
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Shaders\Legacy\CelShader.shader", "UnityShader", 203, 0, 0, 0, 70, 9, 282
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Shaders\SupercyanShader.shader", "UnityShader", 33, 0, 0, 0, 0, 6, 39
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\Supercyan Character Pack Free Sample\Shaders\SupercyanShaderLighting.cginc", "UnityShader", 28, 0, 0, 0, 0, 10, 38
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 109, 0, 0, 0, 2, 33, 144
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 112, 0, 0, 0, 3, 31, 146
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 109, 0, 0, 0, 2, 33, 144
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 243, 0, 0, 0, 4, 71, 318
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 241, 0, 0, 0, 4, 66, 311
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 188, 0, 0, 0, 10, 50, 248
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 183, 0, 0, 0, 8, 50, 241
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 82, 0, 0, 0, 4, 21, 107
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 183, 0, 0, 0, 8, 50, 241
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 103, 0, 0, 0, 8, 28, 139
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 122, 0, 0, 0, 4, 33, 159
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 243, 0, 0, 0, 4, 71, 318
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 97, 0, 0, 0, 0, 20, 117
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 63, 0, 0, 0, 2, 20, 85
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 122, 0, 0, 0, 2, 34, 158
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 62, 0, 0, 0, 10, 14, 86
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 76, 0, 0, 0, 7, 19, 102
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 155, 0, 0, 2, 157
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Agent.cs", "C#", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Bridge.cs", "C#", 0, 7, 0, 0, 0, 1, 8
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\CameraController.cs", "C#", 0, 0, 0, 0, 3, 2, 5
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Chunk.cs", "C#", 0, 7, 0, 0, -131, -1, -125
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Decorations.cs", "C#", 0, -6, 0, 0, 2, -1, -5
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Map.cs", "C#", 0, 5, 0, 0, 0, 5, 10
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\MapGeneratorBase.cs", "C#", 0, 56, 0, 0, 2, 22, 80
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\NoiseSettings.cs", "C#", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\PerlinNoise.cs", "C#", 0, -4, 0, 0, 0, 0, -4
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\RandomTransform.cs", "C#", 0, -1, 0, 0, 1, 0, 0
